Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E4D_23-02-02,F28,38.5,141,29.5658,4.9676,34.1429,,0.921390611,,0.5479,0.4929,1.034,0.8933,0.700750659,0.7567,0.423615338,0.5994,0.104483668,0.1013,D7,9.0774,50.8,76.05359235,45.97565166,11.33977998,9.851847729,55.13405431
E3C_23-02-07,F29,50.7,139,29.0542,5.6827,34.3408,,0.930297218,,0.5444,0.6352,1.1732,1.0062,0.727015113,0.8303,0.450094458,0.6147,0.110673804,0.0899,D8,10.289,53,78.14869263,48.3817913,11.89660696,11.05990623,56.97103999
E14_23-02-08,F3,55,134,29.2234,5.1719,34.0173,,0.92691274,,0.542,0.4905,1.0263,0.9413,0.814067278,0.7671,0.45891947,0.5782,0.073802243,0.0936,D10,6.2375,50.4,87.82566504,49.51053644,7.96215646,6.729328157,54.37405036
E13_23-02-02,F30,83.1,165,28.6205,4.6041,32.8577,,0.920310158,,0.584,0.4965,1.071,0.9637,0.764753273,0.8091,0.453373615,0.629,0.090634441,0.1154,D9,6.1634,49.3,83.09734126,49.26313278,9.848249557,6.697090045,53.56889691
E16_23-02-02,F31,41.4,148,29.0311,5.3134,33.9195,,0.920013551,,0.5281,0.5549,1.0856,0.9471,0.755091007,?,,0.5728,0.080555055,0.0933,E6,10.423,50.8,82.07390064,,8.755855271,11.32918096,55.21657802
E2B_23-02-14,F32,61.2,140,29.0449,5.5165,34.2602,,0.945400163,,0.5489,0.6853,1.2369,1.0993,0.803151904,0.8703,0.468991682,0.6044,0.080986429,0.0892,E7,7.5193,52.9,84.95364562,49.60774292,8.566365065,7.953563256,55.9551416
E15_23-02-04,F33,115.4,126,29.0329,5.8663,34.4559,,0.924432777,,0.5732,0.4676,1.034,0.9452,0.795551754,0.7883,0.460008554,0.6035,0.064798973,0.0959,E8,5.505,50.7,86.05836718,49.76116877,7.009592811,5.955003043,54.84444219
E1A_23-01-31,F34,38.8,13,23.2936,5.3618,28.2439,,0.923253385,,0.5235,0.4547,0.9809,0.5551,0.069496371,?,,0.5261,0.005718056,0.1004,E9,8.6394,51.3,7.527334571,,0.619337655,9.357561142,55.56437792
E1A_23-02-09,F35,68.2,7,21.9173,3.9137,25.512,,0.918491453,,0.5704,0.4719,1.0322,0.9236,0.748463658,0.776,0.435685527,0.6022,0.067387158,0.1133,E10,7.6972,49.7,81.48836388,47.43490265,7.336721324,8.380263065,54.11046541
E16_23-02-12,F36,49.9,145,29.2164,5.4986,34.4961,,0.960189867,,0.54,0.4898,1.0373,0.942,0.82074316,0.7732,0.476112699,0.5814,0.084524296,0.1144,2 A1,7.6786,51.1,85.47717374,49.58526596,8.802873117,7.996960047,53.21864121
E3C_23-02-12,F37,80.7,138,28.9353,4.7957,33.5568,,0.963675793,,0.5493,0.7287,1.2908,1.1774,0.861945931,0.9226,0.512282146,0.6166,0.092356251,0.0975,2 A2,5.891,53.1,89.44355949,53.15917968,9.5837471,6.113051758,55.10151899
E16_23-02-07,F38,51.4,128,28.5003,4.2943,32.4868,,0.928323592,,0.5438,0.4933,1.0313,0.9478,0.818974255,0.7764,0.471518346,0.5828,0.079059396,0.0934,2 A3,6.8791,52,88.22077369,50.79245535,8.516361817,7.41023934,56.01495046
